site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,99.211245
2,1,FAST,128.259218
2,1,FAST,133.907352
2,1,FAST,177.686235
2,1,FAST,167.678183
2,1,FAST,199.194491
2,1,FAST,124.992281
2,1,FAST,145.430300
2,1,FAST,83.404127
2,1,FAST,97.401226
2,1,FAST,208.688960
2,1,FAST,198.581925
2,1,FAST,138.283202
2,1,FAST,152.250386
2,1,FAST,127.702330
2,1,FAST,105.161288
2,1,FAST,83.483150
2,1,FAST,185.626984
2,1,FAST,169.815731
2,1,FAST,140.492987
2,1,FAST,167.230446
2,1,FAST,138.458974
2,1,FAST,112.697386
2,1,FAST,167.986339
2,1,FAST,171.556734
2,1,FAST,83.735798
2,1,FAST,153.708199
2,1,FAST,83.773939
2,1,FAST,161.833646
2,1,FAST,113.615533
2,1,FAST,124.398213
2,1,FAST,140.710742
2,1,FAST,110.011291
2,1,FAST,140.799093
2,1,FAST,183.094554
2,1,FAST,107.416817
2,1,FAST,86.432313
2,1,FAST,118.252356
2,1,FAST,168.957340
2,1,FAST,142.566781
2,1,FAST,188.258142
2,1,FAST,117.726685
2,1,FAST,166.198413
2,1,FAST,135.990770
2,1,FAST,127.610541
2,1,FAST,173.162311
2,1,FAST,83.745837
2,1,FAST,107.516994
2,1,FAST,151.361265
2,1,FAST,83.389307
2,1,FAST,169.426181
2,1,FAST,189.916709
2,1,FAST,95.540148
2,1,FAST,156.033176
2,1,FAST,115.303834
2,1,FAST,130.309184
2,1,FAST,130.160660
2,1,FAST,93.480825
2,1,FAST,191.396800
2,1,FAST,147.530978
2,1,FAST,119.024182
2,1,FAST,166.901892
2,1,FAST,119.793633
2,1,FAST,157.545733
2,1,FAST,128.779262
2,1,FAST,140.804356
2,1,FAST,173.098206
2,1,FAST,83.760253
2,1,FAST,148.345309
2,1,FAST,111.239117
2,1,FAST,112.516243
2,1,FAST,186.533657
2,1,FAST,83.709560
2,1,FAST,146.591804
2,1,FAST,153.285184
2,1,FAST,165.149084
2,1,FAST,94.730688
2,1,FAST,137.155159
2,1,FAST,178.274373
2,1,FAST,84.007903
2,1,FAST,203.865705
2,1,FAST,154.165604
2,1,FAST,103.760857
2,1,FAST,129.480342
2,1,FAST,111.345391
2,1,FAST,83.925552
2,1,FAST,99.511816
2,1,FAST,118.891087
2,1,FAST,179.758185
2,1,FAST,125.029128
2,1,FAST,130.382856
2,1,FAST,150.789791
2,1,FAST,96.391375
2,1,FAST,187.168224
2,1,FAST,105.558439
2,1,FAST,161.412019
2,1,FAST,129.202053
2,1,FAST,156.012368
2,1,FAST,83.034874
2,1,FAST,191.103649
2,1,FAST,178.403344
2,1,FAST,110.422422
2,1,FAST,149.576262
2,1,FAST,129.800917
2,1,FAST,136.201990
2,1,FAST,142.106578
2,1,FAST,144.332225
2,1,FAST,83.634500
2,1,FAST,157.580965
2,1,FAST,113.099965
2,1,FAST,142.525279
2,1,FAST,201.616548
2,1,FAST,88.737945
2,1,FAST,174.024553
2,1,FAST,85.311892
2,1,FAST,140.384263
2,1,FAST,121.455571
