latency_ms,cdf
0.053640,0.00200000
0.053788,0.00400000
0.054727,0.00600000
0.055698,0.00800000
0.058161,0.01000000
0.058983,0.01200000
0.061258,0.01400000
0.067754,0.01600000
0.068670,0.01800000
0.069206,0.02000000
0.076142,0.02200000
0.078255,0.02400000
0.078820,0.02600000
0.082298,0.02800000
0.085455,0.03000000
0.088915,0.03200000
0.090161,0.03400000
0.090446,0.03600000
0.091346,0.03800000
0.093402,0.04000000
0.096411,0.04200000
0.099368,0.04400000
0.099453,0.04600000
0.099634,0.04800000
0.099683,0.05000000
0.099687,0.05200000
0.099710,0.05400000
0.099751,0.05600000
0.099813,0.05800000
0.099852,0.06000000
0.099876,0.06200000
0.099967,0.06400000
0.100014,0.06600000
0.100065,0.06800000
0.100078,0.07000000
0.100084,0.07200000
0.100091,0.07400000
0.100118,0.07600000
0.100119,0.07800000
0.100133,0.08000000
0.100143,0.08200000
0.100144,0.08400000
0.100162,0.08600000
0.100165,0.08800000
0.100166,0.09000000
0.100171,0.09200000
0.100184,0.09400000
0.100193,0.09600000
0.100211,0.09800000
0.100228,0.10000000
0.100251,0.10200000
0.100286,0.10400000
0.100301,0.10600000
0.100303,0.10800000
0.100314,0.11000000
0.100319,0.11200000
0.100327,0.11400000
0.100354,0.11600000
0.100371,0.11800000
0.100373,0.12000000
0.100381,0.12200000
0.100385,0.12400000
0.100400,0.12600000
0.100405,0.12800000
0.100406,0.13000000
0.100441,0.13200000
0.100443,0.13400000
0.100457,0.13600000
0.100457,0.13800000
0.100463,0.14000000
0.100495,0.14200000
0.100501,0.14400000
0.100503,0.14600000
0.100530,0.14800000
0.100610,0.15000000
0.100634,0.15200000
0.100648,0.15400000
0.100652,0.15600000
0.100658,0.15800000
0.100673,0.16000000
0.100678,0.16200000
0.100686,0.16400000
0.100686,0.16600000
0.100687,0.16800000
0.100702,0.17000000
0.100705,0.17200000
0.100721,0.17400000
0.100732,0.17600000
0.100737,0.17800000
0.100756,0.18000000
0.100759,0.18200000
0.100769,0.18400000
0.100776,0.18600000
0.100781,0.18800000
0.100784,0.19000000
0.100800,0.19200000
0.100827,0.19400000
0.100831,0.19600000
0.100860,0.19800000
0.100861,0.20000000
0.100893,0.20200000
0.100893,0.20400000
0.100900,0.20600000
0.100906,0.20800000
0.100925,0.21000000
0.100938,0.21200000
0.100941,0.21400000
0.100983,0.21600000
0.100986,0.21800000
0.101015,0.22000000
0.101024,0.22200000
0.101027,0.22400000
0.101029,0.22600000
0.101037,0.22800000
0.101058,0.23000000
0.101060,0.23200000
0.101073,0.23400000
0.101076,0.23600000
0.101093,0.23800000
0.101138,0.24000000
0.101139,0.24200000
0.101145,0.24400000
0.101156,0.24600000
0.101170,0.24800000
0.101177,0.25000000
0.101183,0.25200000
0.101186,0.25400000
0.101187,0.25600000
0.101187,0.25800000
0.101190,0.26000000
0.101191,0.26200000
0.101204,0.26400000
0.101213,0.26600000
0.101218,0.26800000
0.101223,0.27000000
0.101225,0.27200000
0.101226,0.27400000
0.101237,0.27600000
0.101272,0.27800000
0.101280,0.28000000
0.101284,0.28200000
0.101319,0.28400000
0.101321,0.28600000
0.101323,0.28800000
0.101335,0.29000000
0.101337,0.29200000
0.101352,0.29400000
0.101362,0.29600000
0.101367,0.29800000
0.101375,0.30000000
0.101386,0.30200000
0.101387,0.30400000
0.101401,0.30600000
0.101402,0.30800000
0.101406,0.31000000
0.101417,0.31200000
0.101418,0.31400000
0.101427,0.31600000
0.101437,0.31800000
0.101442,0.32000000
0.101445,0.32200000
0.101451,0.32400000
0.101468,0.32600000
0.101472,0.32800000
0.101474,0.33000000
0.101475,0.33200000
0.101484,0.33400000
0.101504,0.33600000
0.101518,0.33800000
0.101522,0.34000000
0.101523,0.34200000
0.101535,0.34400000
0.101540,0.34600000
0.101546,0.34800000
0.101579,0.35000000
0.101582,0.35200000
0.101582,0.35400000
0.101583,0.35600000
0.101613,0.35800000
0.101623,0.36000000
0.101625,0.36200000
0.101626,0.36400000
0.101627,0.36600000
0.101630,0.36800000
0.101631,0.37000000
0.101636,0.37200000
0.101636,0.37400000
0.101642,0.37600000
0.101644,0.37800000
0.101657,0.38000000
0.101707,0.38200000
0.101717,0.38400000
0.101721,0.38600000
0.101750,0.38800000
0.101751,0.39000000
0.101754,0.39200000
0.101758,0.39400000
0.101787,0.39600000
0.101792,0.39800000
0.101793,0.40000000
0.101794,0.40200000
0.101812,0.40400000
0.101825,0.40600000
0.101826,0.40800000
0.101830,0.41000000
0.101840,0.41200000
0.101848,0.41400000
0.101851,0.41600000
0.101862,0.41800000
0.101869,0.42000000
0.101872,0.42200000
0.101906,0.42400000
0.101912,0.42600000
0.101925,0.42800000
0.101931,0.43000000
0.101934,0.43200000
0.101939,0.43400000
0.101946,0.43600000
0.101959,0.43800000
0.101965,0.44000000
0.101974,0.44200000
0.101992,0.44400000
0.101998,0.44600000
0.102016,0.44800000
0.102060,0.45000000
0.102065,0.45200000
0.102081,0.45400000
0.102095,0.45600000
0.102099,0.45800000
0.102112,0.46000000
0.102113,0.46200000
0.102134,0.46400000
0.102176,0.46600000
0.102179,0.46800000
0.102194,0.47000000
0.102195,0.47200000
0.102223,0.47400000
0.102238,0.47600000
0.102265,0.47800000
0.102307,0.48000000
0.102324,0.48200000
0.102326,0.48400000
0.102346,0.48600000
0.102364,0.48800000
0.102367,0.49000000
0.102385,0.49200000
0.102411,0.49400000
0.102411,0.49600000
0.102420,0.49800000
0.102432,0.50000000
0.102445,0.50200000
0.102452,0.50400000
0.102453,0.50600000
0.102456,0.50800000
0.102475,0.51000000
0.102479,0.51200000
0.102481,0.51400000
0.102498,0.51600000
0.102515,0.51800000
0.102535,0.52000000
0.102566,0.52200000
0.102575,0.52400000
0.102615,0.52600000
0.102618,0.52800000
0.102628,0.53000000
0.102639,0.53200000
0.102678,0.53400000
0.102722,0.53600000
0.102728,0.53800000
0.102734,0.54000000
0.102749,0.54200000
0.102751,0.54400000
0.102757,0.54600000
0.102767,0.54800000
0.102770,0.55000000
0.102776,0.55200000
0.102778,0.55400000
0.102812,0.55600000
0.102849,0.55800000
0.102858,0.56000000
0.102865,0.56200000
0.102865,0.56400000
0.102865,0.56600000
0.102872,0.56800000
0.102887,0.57000000
0.102893,0.57200000
0.102894,0.57400000
0.102903,0.57600000
0.102908,0.57800000
0.102924,0.58000000
0.102927,0.58200000
0.102930,0.58400000
0.102955,0.58600000
0.102983,0.58800000
0.102984,0.59000000
0.102988,0.59200000
0.102997,0.59400000
0.102998,0.59600000
0.103043,0.59800000
0.103059,0.60000000
0.103073,0.60200000
0.103110,0.60400000
0.103130,0.60600000
0.103138,0.60800000
0.103163,0.61000000
0.103165,0.61200000
0.103220,0.61400000
0.103220,0.61600000
0.103232,0.61800000
0.103275,0.62000000
0.103280,0.62200000
0.103288,0.62400000
0.103302,0.62600000
0.103309,0.62800000
0.103330,0.63000000
0.103336,0.63200000
0.103341,0.63400000
0.103353,0.63600000
