ok,latency_ms,commit_mode
1,0.215086,FAST
1,0.221296,FAST
1,0.207454,FAST
1,0.228300,FAST
1,0.117609,FAST
1,0.109357,FAST
1,0.105386,FAST
1,0.217638,FAST
1,0.114803,FAST
1,0.107702,FAST
1,0.108280,FAST
1,0.104725,FAST
1,0.102984,FAST
1,0.103850,FAST
1,0.102894,FAST
1,0.102924,FAST
1,0.215495,FAST
1,0.116464,FAST
1,0.123026,FAST
1,0.113075,FAST
1,0.105324,FAST
1,0.104369,FAST
1,0.105322,FAST
1,0.103577,FAST
1,0.103043,FAST
1,0.102411,FAST
1,0.102238,FAST
1,0.104006,FAST
1,0.105499,FAST
1,0.104253,FAST
1,0.103358,FAST
1,0.103818,FAST
1,0.103553,FAST
1,0.104675,FAST
1,0.101851,FAST
1,0.101579,FAST
1,0.101613,FAST
1,0.104284,FAST
1,0.235089,FAST
1,0.225872,FAST
1,0.114357,FAST
1,0.110456,FAST
1,0.105219,FAST
1,0.101825,FAST
1,0.166359,FAST
1,0.219054,FAST
1,0.114381,FAST
1,0.124568,FAST
1,0.115008,FAST
1,0.106487,FAST
1,0.105555,FAST
1,0.239065,FAST
1,0.217723,FAST
1,0.114239,FAST
1,0.107007,FAST
1,0.104813,FAST
1,0.227488,FAST
1,0.119508,FAST
1,0.108548,FAST
1,0.107451,FAST
1,0.105598,FAST
1,0.105158,FAST
1,0.103110,FAST
1,0.107260,FAST
1,0.102983,FAST
1,0.085455,FAST
1,0.108095,FAST
1,0.103752,FAST
1,0.104285,FAST
1,0.102903,FAST
1,0.103059,FAST
1,0.106313,FAST
1,0.105212,FAST
1,0.104548,FAST
1,0.104487,FAST
1,0.103163,FAST
1,0.101848,FAST
1,0.102930,FAST
1,0.102749,FAST
1,0.105070,FAST
1,0.104286,FAST
1,0.102265,FAST
1,0.103643,FAST
1,0.104491,FAST
1,0.104660,FAST
1,0.106512,FAST
1,0.103412,FAST
1,0.102728,FAST
1,0.104591,FAST
1,0.102988,FAST
1,0.102411,FAST
1,0.103220,FAST
1,0.102113,FAST
1,0.076142,FAST
1,0.103520,FAST
1,0.103288,FAST
1,0.103330,FAST
1,0.103220,FAST
1,0.103776,FAST
1,0.109705,FAST
1,0.102194,FAST
1,0.101518,FAST
1,0.104898,FAST
1,0.102639,FAST
1,0.102445,FAST
1,0.102955,FAST
1,0.102176,FAST
1,0.101959,FAST
1,0.101925,FAST
1,0.101812,FAST
1,0.104781,FAST
1,0.102452,FAST
1,0.102770,FAST
1,0.105144,FAST
1,0.102481,FAST
1,0.107919,FAST
1,0.111297,FAST
1,0.101218,FAST
1,0.101468,FAST
1,0.108641,FAST
1,0.101792,FAST
1,0.061258,FAST
1,0.101522,FAST
1,0.101024,FAST
1,0.100457,FAST
1,0.100193,FAST
1,0.102112,FAST
1,0.108586,FAST
1,0.100501,FAST
1,0.101145,FAST
1,0.101794,FAST
1,0.102432,FAST
1,0.104956,FAST
1,0.101862,FAST
1,0.101401,FAST
1,0.100906,FAST
1,0.099967,FAST
1,0.107792,FAST
1,0.111104,FAST
1,0.100705,FAST
1,0.082298,FAST
1,0.123313,FAST
1,0.101840,FAST
1,0.100463,FAST
1,0.100319,FAST
1,0.109865,FAST
1,0.103668,FAST
1,0.101998,FAST
1,0.100441,FAST
1,0.100400,FAST
1,0.106706,FAST
1,0.106723,FAST
1,0.102420,FAST
1,0.105515,FAST
1,0.101183,FAST
1,0.102778,FAST
1,0.103502,FAST
1,0.102367,FAST
1,0.101946,FAST
1,0.055698,FAST
1,0.102997,FAST
1,0.103436,FAST
1,0.101931,FAST
1,0.101187,FAST
1,0.100759,FAST
1,0.110648,FAST
1,0.101631,FAST
1,0.101934,FAST
1,0.102364,FAST
1,0.107464,FAST
1,0.103712,FAST
1,0.101375,FAST
1,0.112504,FAST
1,0.102223,FAST
1,0.101237,FAST
1,0.101204,FAST
1,0.100986,FAST
1,0.101223,FAST
1,0.069206,FAST
1,0.121060,FAST
1,0.102326,FAST
1,0.101015,FAST
1,0.100228,FAST
1,0.100443,FAST
