site_count,workload,read_objects_per_tx,write_objects_per_tx,tx_per_site,concurrency_per_site,ok_count,total,throughput_tx_s,avg_ms,p50_ms,p95_ms,p99_ms,fast_ratio,modes,elapsed_s,optimized_path,read_base_ms,write_base_ms,cache_miss_ratio,cache_miss_penalty_ms
1,read,1,0,2000,1,2000,2000,8443.220121,0.110500,0.083246,0.232965,0.325860,1.000000,{'FAST': 2000},0.236876,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,read,5,0,2000,1,2000,2000,2774.012152,0.350366,0.351963,0.361931,0.414159,1.000000,{'FAST': 2000},0.720977,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,write,0,1,2000,1,2000,2000,6163.607867,0.151212,0.103331,0.355149,0.379326,1.000000,{'FAST': 2000},0.324485,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,write,0,5,2000,1,2000,2000,2124.811827,0.453873,0.408859,0.622713,0.652226,1.000000,{'FAST': 2000},0.941260,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,mixed,1,1,2000,1,2000,2000,10353.457193,0.090952,0.083583,0.103614,0.193277,1.000000,{'FAST': 2000},0.193172,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,mixed,1,5,2000,1,2000,2000,7550.663347,0.125761,0.084756,0.399254,0.416749,1.000000,{'FAST': 2000},0.264877,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,mixed,5,1,2000,1,2000,2000,3008.378270,0.322605,0.347357,0.353830,0.360193,1.000000,{'FAST': 2000},0.664810,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
1,mixed,5,5,2000,1,2000,2000,2434.943025,0.394393,0.370066,0.473050,0.537397,1.000000,{'FAST': 2000},0.821374,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,read,1,0,2000,1,4000,4000,18668.776853,0.098406,0.085447,0.105588,0.248899,1.000000,{'FAST': 4000},0.214261,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,read,5,0,2000,1,4000,4000,4950.305339,0.374586,0.353685,0.464077,0.503990,1.000000,{'FAST': 4000},0.808031,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,write,0,1,2000,1,4000,4000,15339.210084,0.118712,0.103573,0.211188,0.295178,1.000000,{'FAST': 4000},0.260770,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,write,0,5,2000,1,4000,4000,3902.139089,0.474559,0.449504,0.565984,0.681521,1.000000,{'FAST': 4000},1.025079,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,mixed,1,1,2000,1,4000,4000,17906.516482,0.100454,0.085243,0.126126,0.263628,1.000000,{'FAST': 4000},0.223382,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,mixed,1,5,2000,1,4000,4000,13664.699982,0.134892,0.085885,0.401969,0.430467,1.000000,{'FAST': 4000},0.292725,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,mixed,5,1,2000,1,4000,4000,5087.301683,0.357944,0.352215,0.467907,0.503744,1.000000,{'FAST': 4000},0.786271,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
2,mixed,5,5,2000,1,4000,4000,4567.193875,0.403197,0.370967,0.505043,0.572952,1.000000,{'FAST': 4000},0.875811,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
3,read,1,0,2000,1,6000,6000,26754.146661,0.098786,0.086080,0.110680,0.264266,1.000000,{'FAST': 6000},0.224264,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
3,read,5,0,2000,1,6000,6000,7210.551344,0.380821,0.352031,0.479215,0.529014,1.000000,{'FAST': 6000},0.832114,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
3,write,0,1,2000,1,6000,6000,23623.594683,0.116072,0.103548,0.130859,0.289250,1.000000,{'FAST': 6000},0.253983,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
3,write,0,5,2000,1,6000,6000,6140.229090,0.441292,0.415132,0.552474,0.652880,1.000000,{'FAST': 6000},0.977162,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
3,mixed,1,1,2000,1,6000,6000,25769.085231,0.105262,0.087736,0.123808,0.285291,1.000000,{'FAST': 6000},0.232837,persistent+single-rpc,0.010000,0.020000,0.000000,0.400000
